model_label,difficulty,n_prompts,first_shot_pass_rate,eventual_pass_rate,unresolved_rate,first_failed_then_recovered_rate,mean_first_iteration_error_count,mean_total_error_count_across_iterations,mean_iterations_run,mean_iterations_to_success,median_iterations_to_success
Anthropic Claude Sonnet 4.6,1,63,79.36507936507937,100.0,0.0,20.634920634920633,0.9206349206349206,0.9365079365079365,1.2222222222222223,1.2222222222222223,1.0
Anthropic Claude Sonnet 4.6,2,64,87.5,100.0,0.0,12.5,0.28125,0.296875,1.140625,1.140625,1.0
Anthropic Claude Sonnet 4.6,3,12,91.66666666666666,100.0,0.0,8.333333333333332,22.25,37.25,1.5,1.5,1.0
Anthropic Claude Sonnet 4.6,4,6,50.0,100.0,0.0,50.0,0.5,0.5,1.6666666666666667,1.6666666666666667,1.5
Anthropic Claude Sonnet 4.6,5,6,83.33333333333334,100.0,0.0,16.666666666666664,0.6666666666666666,0.6666666666666666,1.1666666666666667,1.1666666666666667,1.0
DeepSeek Reasoner,1,63,33.33333333333333,100.0,0.0,66.66666666666666,4.682539682539683,7.333333333333333,2.1746031746031744,2.1746031746031744,2.0
DeepSeek Reasoner,2,64,46.875,100.0,0.0,53.125,4.53125,5.859375,1.8125,1.8125,2.0
DeepSeek Reasoner,3,12,41.66666666666667,100.0,0.0,58.333333333333336,4.666666666666667,7.25,1.9166666666666667,1.9166666666666667,2.0
DeepSeek Reasoner,4,6,50.0,100.0,0.0,50.0,2.0,2.0,1.5,1.5,1.5
DeepSeek Reasoner,5,6,50.0,100.0,0.0,50.0,3.8333333333333335,7.833333333333333,2.1666666666666665,2.1666666666666665,2.0
Mistral Large,1,63,42.857142857142854,100.0,0.0,57.14285714285714,4.015873015873016,6.396825396825397,1.9365079365079365,1.9365079365079365,2.0
Mistral Large,2,64,39.0625,100.0,0.0,60.9375,3.75,6.109375,1.953125,1.953125,2.0
Mistral Large,3,12,8.333333333333332,100.0,0.0,91.66666666666666,8.333333333333334,13.666666666666666,2.5833333333333335,2.5833333333333335,2.0
Mistral Large,4,6,33.33333333333333,100.0,0.0,66.66666666666666,3.3333333333333335,6.0,2.1666666666666665,2.1666666666666665,2.0
Mistral Large,5,6,66.66666666666666,100.0,0.0,33.33333333333333,1.0,1.0,1.3333333333333333,1.3333333333333333,1.0
OpenAI,1,63,47.61904761904761,100.0,0.0,52.38095238095239,3.111111111111111,4.888888888888889,1.7301587301587302,1.7301587301587302,2.0
OpenAI,2,64,37.5,100.0,0.0,62.5,4.921875,5.5625,1.765625,1.765625,2.0
OpenAI,3,12,25.0,100.0,0.0,75.0,2.25,2.25,1.75,1.75,2.0
OpenAI,4,6,66.66666666666666,100.0,0.0,33.33333333333333,0.5,0.5,1.3333333333333333,1.3333333333333333,1.0
OpenAI,5,6,33.33333333333333,100.0,0.0,66.66666666666666,3.8333333333333335,3.8333333333333335,1.6666666666666667,1.6666666666666667,2.0
