family,total_error_instances,prompts_affected,share_total_error_instances_pct,single_shot_error_instances,episodes,mean_iter,median_iter,p90_iter,mean_sec,median_sec,p_repair_le1,p_repair_le2,long_tail_count,persist_episodes,exact_recur_rate,template_recur_rate,churn_rate,long_tail_share_within_family
parsing-error,1666,126,51.5470297029703,1144,247,1.4291497975708503,1.0,2.4000000000000057,55.722508944194374,32.37432183299825,0.7125506072874493,0.8987854251012146,25,71.0,0.7887323943661971,0.9154929577464789,0.08450704225352113,0.10121457489878542
reference-error,1224,92,37.87128712871287,824,145,1.3172413793103448,1.0,2.0,52.794685005172504,28.32890270799544,0.7586206896551724,0.9379310344827586,9,35.0,0.9142857142857143,0.9428571428571428,0.05714285714285714,0.06206896551724138
port-definition-owned-usages-not-composite,97,29,3.001237623762376,82,29,1.206896551724138,1.0,2.0,35.31475977724015,33.42484933400556,0.7931034482758621,1.0,0,6.0,1.0,1.0,0.0,0.0
type-error,52,10,1.608910891089109,26,12,1.1666666666666667,1.0,1.9000000000000004,33.174386899502984,12.828868041498936,0.8333333333333334,1.0,0,2.0,0.5,0.5,0.5,0.0
feature-chaining-feature-not-one,35,13,1.082920792079208,28,15,1.2666666666666666,1.0,2.0,84.05650764726839,38.36293341800774,0.8,0.9333333333333333,1,3.0,1.0,1.0,0.0,0.06666666666666667
feature-crossing-specialization,27,1,0.8353960396039604,6,2,2.5,2.5,3.7,56.72175150000112,56.72175150000112,0.5,0.5,1,1.0,1.0,1.0,0.0,0.5
invocation-expression-instantiated-type,22,8,0.6806930693069307,17,11,1.0909090909090908,1.0,1.0,81.43857074981894,14.76245295901026,0.9090909090909091,1.0,0,1.0,1.0,1.0,0.0,0.0
feature-reference-expression-referent-is-feature,19,8,0.5878712871287128,18,8,1.125,1.0,1.2999999999999998,49.63196359900121,29.028822249998484,0.875,1.0,0,1.0,1.0,1.0,0.0,0.0
parameter-membership-owning-type,19,9,0.5878712871287128,12,9,1.2222222222222223,1.0,2.0,20.702847953552716,12.40104995900765,0.7777777777777778,1.0,0,2.0,1.0,1.0,0.0,0.0
feature-value-overriding,17,3,0.525990099009901,16,4,1.0,1.0,1.0,14.694511750250967,12.393792083508743,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0
quantity-operator-expression,17,4,0.525990099009901,13,4,1.0,1.0,1.0,63.505855457997306,20.29364318750231,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0
attribute-usage-features,8,2,0.2475247524752475,7,2,1.0,1.0,1.0,25.54632722948736,25.54632722948736,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0
connector-related-features,8,3,0.2475247524752475,4,4,2.0,2.0,3.0,204.63743304225136,223.6720926045018,0.5,0.5,2,2.0,1.0,1.0,0.0,0.5
cross-subsetting-crossing-feature,6,1,0.1856435643564356,6,1,1.0,1.0,1.0,14.15566783399845,14.15566783399845,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0
feature-owned-cross-subsetting,4,1,0.1237623762376237,4,1,1.0,1.0,1.0,14.15566783399845,14.15566783399845,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0
internal-error,4,1,0.1237623762376237,0,1,2.0,2.0,2.0,204.03372353999293,204.03372353999293,0.0,1.0,0,1.0,1.0,1.0,0.0,0.0
import-explicit-visibility,3,3,0.0928217821782178,0,3,1.0,1.0,1.0,21.888232707996696,27.16140029199596,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0
part-usage-part-definition,2,1,0.0618811881188118,1,2,1.0,1.0,1.0,9.291445645496424,9.291445645496424,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0
class-specialization,1,1,0.0309405940594059,0,1,1.0,1.0,1.0,108.2716482909891,108.2716482909891,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0
subsetting-uniqueness-conformance,1,1,0.0309405940594059,1,1,1.0,1.0,1.0,5.081358541996451,5.081358541996451,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0
