family,total_error_instances,iteration_rows_with_family,prompts_affected,episodes,mean_iterations_to_repair,median_iterations_to_repair,p90_iterations_to_repair,max_iterations_to_repair,std_iterations_to_repair,mean_persisted_iterations,p90_persisted_iterations,max_persisted_iterations,mean_elapsed_sec_to_repair,median_elapsed_sec_to_repair,p90_elapsed_sec_to_repair,share_two_plus_iterations,ci95_iterations_to_repair,share_total_error_instances_pct,share_two_plus_iterations_pct
parsing-error,1666,353,126,247,1.4291497975708503,1.0,2.4000000000000057,7,0.8127793364912738,1.4291497975708503,2.4000000000000057,7,55.722508944194374,32.37432183299825,123.4436566581979,0.2874493927125506,0.10136318506430816,51.5470297029703,28.74493927125506
reference-error,1224,191,92,145,1.3172413793103448,1.0,2.0,4,0.631394491448427,1.3172413793103448,2.0,4,52.794685005172504,28.32890270799544,119.49792709180319,0.2413793103448276,0.10277153869791175,37.87128712871287,24.137931034482758
port-definition-owned-usages-not-composite,97,35,29,29,1.206896551724138,1.0,2.0,2,0.41225082039488553,1.206896551724138,2.0,2,35.31475977724015,33.42484933400556,51.712031817196106,0.20689655172413793,0.15004398879371086,3.001237623762376,20.689655172413794
type-error,52,14,10,12,1.1666666666666667,1.0,1.9000000000000004,2,0.38924947208076144,1.1666666666666667,1.9000000000000004,2,33.174386899502984,12.828868041498936,116.95128899559062,0.16666666666666666,0.22023862173799238,1.608910891089109,16.666666666666664
feature-chaining-feature-not-one,35,19,13,15,1.2666666666666666,1.0,2.0,3,0.5936168397046636,1.2666666666666666,2.0,3,84.05650764726839,38.36293341800774,238.19255144140618,0.2,0.3004115695360468,1.0829207920792079,20.0
feature-crossing-specialization,27,5,1,2,2.5,2.5,3.7,4,2.1213203435596424,2.5,3.7,4,56.72175150000112,56.72175150000112,82.56260403360211,0.5,2.9399999999999995,0.8353960396039604,50.0
invocation-expression-instantiated-type,22,12,8,11,1.0909090909090908,1.0,1.0,2,0.30151134457776363,1.0909090909090908,1.0,2,81.43857074981894,14.762452959010261,261.38904733301024,0.09090909090909091,0.1781818181818182,0.6806930693069307,9.090909090909092
feature-reference-expression-referent-is-feature,19,9,8,8,1.125,1.0,1.2999999999999998,2,0.3535533905932738,1.125,1.2999999999999998,2,49.63196359900121,29.028822249998484,112.11838165810332,0.125,0.245,0.5878712871287128,12.5
parameter-membership-owning-type,19,11,9,9,1.2222222222222223,1.0,2.0,2,0.4409585518440984,1.2222222222222223,2.0,2,20.702847953552716,12.40104995900765,38.1368599421985,0.2222222222222222,0.2880929205381442,0.5878712871287128,22.22222222222222
quantity-operator-expression,17,4,4,4,1.0,1.0,1.0,1,0.0,1.0,1.0,1,63.50585545799731,20.29364318750231,152.7668809991905,0.0,0.0,0.525990099009901,0.0
feature-value-overriding,17,4,3,4,1.0,1.0,1.0,1,0.0,1.0,1.0,1,14.694511750250967,12.393792083508743,21.847648238296102,0.0,0.0,0.525990099009901,0.0
attribute-usage-features,8,2,2,2,1.0,1.0,1.0,1,0.0,1.0,1.0,1,25.54632722948736,25.54632722948736,36.842682145888105,0.0,0.0,0.24752475247524752,0.0
connector-related-features,8,8,3,4,2.0,2.0,3.0,3,1.1547005383792515,2.0,3.0,3,204.63743304225136,223.6720926045018,329.384867838207,0.5,1.1316065276116665,0.24752475247524752,50.0
cross-subsetting-crossing-feature,6,1,1,1,1.0,1.0,1.0,1,,1.0,1.0,1,14.15566783399845,14.15566783399845,14.15566783399845,0.0,,0.18564356435643564,0.0
feature-owned-cross-subsetting,4,1,1,1,1.0,1.0,1.0,1,,1.0,1.0,1,14.15566783399845,14.15566783399845,14.15566783399845,0.0,,0.12376237623762376,0.0
internal-error,4,2,1,1,2.0,2.0,2.0,2,,2.0,2.0,2,204.03372353999293,204.03372353999293,204.03372353999293,1.0,,0.12376237623762376,100.0
import-explicit-visibility,3,3,3,3,1.0,1.0,1.0,1,0.0,1.0,1.0,1,21.888232707996696,27.16140029199596,30.136841891196674,0.0,0.0,0.09282178217821782,0.0
part-usage-part-definition,2,2,1,2,1.0,1.0,1.0,1,0.0,1.0,1.0,1,9.291445645496424,9.291445645496424,9.876350495497173,0.0,0.0,0.06188118811881188,0.0
class-specialization,1,1,1,1,1.0,1.0,1.0,1,,1.0,1.0,1,108.2716482909891,108.2716482909891,108.2716482909891,0.0,,0.03094059405940594,0.0
subsetting-uniqueness-conformance,1,1,1,1,1.0,1.0,1.0,1,,1.0,1.0,1,5.081358541996451,5.081358541996451,5.081358541996451,0.0,,0.03094059405940594,0.0
