family,persistence_mode,episodes,family_total,share_within_family_pct
connector-related-features,same_exact_error_recurs,2,2,100.0
feature-chaining-feature-not-one,same_exact_error_recurs,3,3,100.0
feature-crossing-specialization,same_exact_error_recurs,1,1,100.0
feature-reference-expression-referent-is-feature,same_exact_error_recurs,1,1,100.0
internal-error,same_exact_error_recurs,1,1,100.0
invocation-expression-instantiated-type,same_exact_error_recurs,1,1,100.0
parameter-membership-owning-type,same_exact_error_recurs,2,2,100.0
parsing-error,family_only_churn,6,71,8.450704225352112
parsing-error,same_error_template_recurs,9,71,12.67605633802817
parsing-error,same_exact_error_recurs,56,71,78.87323943661971
port-definition-owned-usages-not-composite,same_exact_error_recurs,6,6,100.0
reference-error,family_only_churn,2,35,5.714285714285714
reference-error,same_error_template_recurs,1,35,2.857142857142857
reference-error,same_exact_error_recurs,32,35,91.42857142857143
type-error,family_only_churn,1,2,50.0
type-error,same_exact_error_recurs,1,2,50.0
